x,y,z
-4.129028413444757462e-03,-4.756294190883636475e-01,-4.766311869025230408e-02
2.494354359805583954e-02,-4.743133485317230225e-01,-3.970718383789062500e-02
-1.310272235423326492e-02,-4.804740846157073975e-01,-5.023574829101562500e-02
1.573104970157146454e-02,-4.707832336425781250e-01,1.873779296875000000e-02
-2.111816406250000000e-02,-4.950103759765625000e-01,-3.528061136603355408e-02
-7.609329372644424438e-02,-4.800560176372528076e-01,-2.218017540872097015e-02
-1.987854093313217163e-01,-4.700660705566406250e-01,-3.067398071289062500e-02
-2.298919707536697388e-01,-4.771842956542968750e-01,3.064727876335382462e-03
-2.233718931674957275e-01,-4.830467402935028076e-01,2.227783203125000000e-03
-1.316665709018707275e-01,-4.781410396099090576e-01,-1.733474805951118469e-02
-1.513473540544509888e-01,-4.816703796386718750e-01,-2.642746083438396454e-02
-1.476387083530426025e-01,-4.651008546352386475e-01,-4.790268093347549438e-02
-1.258644163608551025e-01,-4.640838801860809326e-01,-5.400466918945312500e-02
-1.102508530020713806e-01,-4.729370176792144775e-01,-7.799225300550460815e-02
-6.179657205939292908e-02,-4.796371459960937500e-01,-9.037552028894424438e-02
-2.602386474609375000e-02,-4.795173704624176025e-01,-1.121498122811317444e-01
3.762588649988174438e-02,-4.792183041572570801e-01,-1.109535247087478638e-01
4.570160061120986938e-02,-4.860977232456207275e-01,-1.192085295915603638e-01
7.722701877355575562e-02,-4.611526429653167725e-01,-1.001258864998817444e-01
9.230194240808486938e-02,-4.808937013149261475e-01,-1.597671508789062500e-01
9.744644165039062500e-02,-4.308235347270965576e-01,-1.813026517629623413e-01
