x,y,z
-9.991454891860485077e-03,-4.923790097236633301e-01,-4.532623570412397385e-03
6.459045689553022385e-03,-4.792778193950653076e-01,-5.262832716107368469e-02
4.540252685546875000e-02,-5.063766837120056152e-01,-3.749389573931694031e-02
1.800460927188396454e-02,-4.911827147006988525e-01,-4.467239603400230408e-02
8.956909296102821827e-04,-4.661773741245269775e-01,-4.610748216509819031e-02
2.057724073529243469e-02,-4.870544373989105225e-01,-6.967697292566299438e-02
-2.147750928997993469e-02,-4.851402342319488525e-01,1.389312790706753731e-03
-6.700058281421661377e-02,-4.994377195835113525e-01,-4.700546339154243469e-02
-1.304702758789062500e-01,-4.958480894565582275e-01,-1.056892424821853638e-01
-1.794036924839019775e-01,-4.774833619594573975e-01,-3.892974928021430969e-02
-2.272605895996093750e-01,-4.941139221191406250e-01,-2.020263811573386192e-03
-2.638702392578125000e-01,-4.706642329692840576e-01,3.183822706341743469e-02
-1.889747679233551025e-01,-4.499656856060028076e-01,-4.491119459271430969e-02
-1.659439057111740112e-01,-4.564262330532073975e-01,-1.212997455149888992e-02
-1.976486295461654663e-01,-4.811920225620269775e-01,-5.867080762982368469e-02
-1.284965574741363525e-01,-4.549911618232727051e-01,-3.492126613855361938e-02
-6.969299167394638062e-02,-4.761078059673309326e-01,-6.267853081226348877e-02
-3.493728861212730408e-02,-4.701851010322570801e-01,-1.035957336425781250e-01
-3.248443827033042908e-02,-4.417709410190582275e-01,-4.162139818072319031e-02
9.868621826171875000e-03,-4.788589477539062500e-01,-1.012626662850379944e-01
4.522323608398437500e-02,-4.634254574775695801e-01,-1.127479597926139832e-01
4.887237772345542908e-02,-4.696464538574218750e-01,-1.368560791015625000e-01
7.650909572839736938e-02,-4.554100036621093750e-01,-1.284210234880447388e-01
7.632980495691299438e-02,-4.741935729980468750e-01,-1.522895842790603638e-01
7.244110107421875000e-02,-4.756286740303039551e-01,-1.259086579084396362e-01
5.587081983685493469e-02,-4.749710261821746826e-01,-1.515113860368728638e-01
6.472396850585937500e-02,-4.426681697368621826e-01,-1.568954437971115112e-01
5.599060282111167908e-02,-4.662971496582031250e-01,-1.486404389142990112e-01
