x,y,z
2.452468872070312500e-02,-5.017105340957641602e-01,-4.051208670716732740e-04
1.746597327291965485e-02,-4.914215207099914551e-01,-1.404418982565402985e-02
2.972946129739284515e-02,-4.767059385776519775e-01,-1.290741004049777985e-02
1.972198486328125000e-03,-4.860374629497528076e-01,-8.600616827607154846e-03
-3.021087683737277985e-02,-4.833458065986633301e-01,-2.140045166015625000e-03
-7.041015475988388062e-02,-4.733558595180511475e-01,-5.047531053423881531e-02
-1.402809172868728638e-01,-4.582809507846832275e-01,-3.193054348230361938e-02
-2.161933928728103638e-01,-4.860977232456207275e-01,-2.600860595703125000e-02
-2.618957459926605225e-01,-4.957885742187500000e-01,-1.607818715274333954e-02
-1.855056732892990112e-01,-4.774238765239715576e-01,-3.091354481875896454e-02
-1.684562712907791138e-01,-4.660575985908508301e-01,-8.810196071863174438e-02
-1.295730620622634888e-01,-4.811325073242187500e-01,-6.572952121496200562e-02
-1.337600797414779663e-01,-4.592979550361633301e-01,-9.629745781421661377e-02
-1.049270629882812500e-01,-4.639640748500823975e-01,-1.266265958547592163e-01
-2.189636230468750000e-02,-4.422492980957031250e-01,-1.294975280761718750e-01
-1.393966656178236008e-02,-4.458381831645965576e-01,-1.549217253923416138e-01
3.272094950079917908e-02,-4.614517390727996826e-01,-1.779525727033615112e-01
7.369766384363174438e-02,-4.517005980014801025e-01,-1.497169584035873413e-01
5.748672410845756531e-02,-4.712623655796051025e-01,-1.712524443864822388e-01
6.980972737073898315e-02,-4.513420164585113525e-01,-1.987701505422592163e-01
4.037780687212944031e-02,-4.284301698207855225e-01,-1.763969510793685913e-01
5.365753173828125000e-02,-4.413520991802215576e-01,-1.530075073242187500e-01
4.079666361212730408e-02,-4.488891661167144775e-01,-1.973938047885894775e-01
