x,y,z
-1.489715557545423508e-02,-4.679122865200042725e-01,-2.654647827148437500e-02
-9.453582577407360077e-03,-4.930366575717926025e-01,-6.554947048425674438e-02
-2.632293663918972015e-02,-4.957885742187500000e-01,-7.894974201917648315e-02
-2.873230027034878731e-03,-4.837646484375000000e-01,1.927642896771430969e-02
-3.529587015509605408e-02,-4.758682250976562500e-01,-4.850082471966743469e-02
-7.818756252527236938e-02,-4.792183041572570801e-01,4.560089204460382462e-03
-1.579277068376541138e-01,-4.853202998638153076e-01,-5.567932128906250000e-02
-2.340194731950759888e-01,-4.998565614223480225e-01,-6.441345065832138062e-02
-3.431320190429687500e-01,-4.600761532783508301e-01,-2.110290527343750000e-02
-2.186454832553863525e-01,-4.384208619594573975e-01,1.191864069551229477e-02
-2.029724121093750000e-01,-4.535553157329559326e-01,-8.122253231704235077e-03
-1.323844939470291138e-01,-4.482315182685852051e-01,-3.276061965152621269e-03
-1.168312057852745056e-01,-4.585205018520355225e-01,-1.127479597926139832e-01
-7.513656467199325562e-02,-4.602554440498352051e-01,-6.519088894128799438e-02
-3.571472316980361938e-02,-4.797569215297698975e-01,-9.121246635913848877e-02
-1.124801672995090485e-02,-4.910629391670227051e-01,-8.068466186523437500e-02
3.104553185403347015e-02,-4.774238765239715576e-01,-8.301772922277450562e-02
4.677810892462730408e-02,-4.633659422397613525e-01,-1.320701688528060913e-01
7.369766384363174438e-02,-4.775436520576477051e-01,-1.460082978010177612e-01
7.363738864660263062e-02,-4.724586606025695801e-01,-1.751411408185958862e-01
8.009872585535049438e-02,-4.670150876045227051e-01,-1.598266661167144775e-01
6.723709404468536377e-02,-4.661178588867187500e-01,-1.755599975585937500e-01
