x,y,z
1.656875573098659515e-02,-4.761078059673309326e-01,1.257629413157701492e-02
1.531219482421875000e-02,-4.847816526889801025e-01,-4.874038696289062500e-02
1.967926137149333954e-02,-4.867553710937500000e-01,-2.552947960793972015e-02
2.570342971011996269e-03,-4.805938899517059326e-01,-3.701553493738174438e-02
7.834625430405139923e-03,-4.774238765239715576e-01,-1.727447472512722015e-02
-1.815795985748991370e-04,-4.837051331996917725e-01,-1.715469360351562500e-02
2.153396606445312500e-02,-4.648010432720184326e-01,-3.408432006835937500e-02
1.608963124454021454e-02,-4.697067439556121826e-01,-2.194061316549777985e-02
3.164367750287055969e-02,-4.728775024414062500e-01,-5.010986234992742538e-03
1.030693054199218750e-01,-4.838844239711761475e-01,-2.217941358685493469e-02
1.763496398925781250e-01,-4.723991453647613525e-01,-1.960754394531250000e-02
2.139167785644531250e-01,-4.829269349575042725e-01,-1.960754394531250000e-02
2.145149260759353638e-01,-5.102653503417968750e-01,-5.908889696002006531e-02
2.164894193410873413e-01,-5.072143673896789551e-01,-7.882690988481044769e-03
1.430297940969467163e-01,-4.810722470283508301e-01,-2.576904371380805969e-02
1.251434385776519775e-01,-4.738342463970184326e-01,-2.427368238568305969e-02
1.496696472167968750e-01,-4.768852293491363525e-01,-4.162139818072319031e-02
9.726715087890625000e-02,-4.732360839843750000e-01,-2.182083204388618469e-02
9.457474201917648315e-02,-4.860977232456207275e-01,-6.465225666761398315e-02
-1.208572369068861008e-02,-4.639038145542144775e-01,-7.051467895507812500e-02
2.554245106875896454e-02,-4.748512208461761475e-01,-9.659653156995773315e-02
-4.217529296875000000e-02,-4.658783078193664551e-01,-1.668853759765625000e-01
-3.607330471277236938e-02,-4.563072323799133301e-01,-2.214424163103103638e-01
-6.185607984662055969e-02,-4.542732238769531250e-01,-1.358390897512435913e-01
-6.223297212272882462e-03,-4.675529599189758301e-01,-1.442733854055404663e-01
-1.585388183593750000e-02,-5.114616751670837402e-01,-3.021400570869445801e-01
-2.464752271771430969e-02,-4.622894227504730225e-01,-2.086402922868728638e-01
-3.302307054400444031e-02,-4.441032409667968750e-01,-2.067260742187500000e-01
-6.400986015796661377e-02,-4.450004696846008301e-01,-1.954200714826583862e-01
-5.282364040613174438e-02,-4.426681697368621826e-01,-2.147422879934310913e-01
-4.056015238165855408e-02,-4.517005980014801025e-01,-2.355003356933593750e-01
-2.937316894531250000e-02,-4.336349666118621826e-01,-2.343032807111740112e-01
-1.041030883789062500e-02,-4.377624690532684326e-01,-2.685211300849914551e-01
