x,y,z
4.821395874023437500e-02,-4.670746028423309326e-01,-8.672638237476348877e-02
2.350769005715847015e-02,-5.255790948867797852e-01,-6.369552761316299438e-02
4.779510572552680969e-02,-4.740135371685028076e-01,-1.067665144801139832e-01
-9.692382998764514923e-03,-5.047615170478820801e-01,-7.476196438074111938e-02
2.643966674804687500e-02,-4.904045164585113525e-01,-1.787262037396430969e-02
3.678817674517631531e-02,-4.719803035259246826e-01,-8.349609375000000000e-02
8.231125026941299438e-02,-4.764663875102996826e-01,-9.731445461511611938e-02
5.162353441119194031e-02,-4.575630128383636475e-01,-9.366531670093536377e-02
5.676803737878799438e-02,-4.801155030727386475e-01,-1.340438872575759888e-01
5.138473585247993469e-02,-4.846618771553039551e-01,-1.217811629176139832e-01
6.011810526251792908e-02,-4.689292907714843750e-01,-9.342651814222335815e-02
6.418609619140625000e-02,-4.572044312953948975e-01,-7.601775974035263062e-02
7.632980495691299438e-02,-4.832260310649871826e-01,-1.172348037362098694e-01
1.004974395036697388e-01,-4.521789550781250000e-01,-9.839095920324325562e-02
1.011550948023796082e-01,-4.397964477539062500e-01,-6.112289428710937500e-02
1.070777922868728638e-01,-4.511619508266448975e-01,-1.086799651384353638e-01
6.496353447437286377e-02,-4.725776612758636475e-01,-1.204650923609733582e-01
8.931045979261398315e-02,-4.668357968330383301e-01,-7.530059665441513062e-02
1.060600280761718750e-01,-4.790985286235809326e-01,-1.129875183105468750e-01
1.076759323477745056e-01,-4.792778193950653076e-01,-1.111328154802322388e-01
9.397659450769424438e-02,-4.585800170898437500e-01,-1.371543854475021362e-01
1.272964477539062500e-01,-4.321990907192230225e-01,-8.385467529296875000e-02
6.412658840417861938e-02,-4.316612184047698975e-01,-1.124488860368728638e-01
8.177337795495986938e-02,-4.750305116176605225e-01,-8.588867634534835815e-02
4.851303249597549438e-02,-4.974037110805511475e-01,-1.505546569824218750e-01
7.381744682788848877e-02,-4.640838801860809326e-01,-1.079628020524978638e-01
8.697738498449325562e-02,-4.875335693359375000e-01,-1.055694594979286194e-01
6.071624904870986938e-02,-4.868751466274261475e-01,-9.444274753332138062e-02
1.062995940446853638e-01,-4.728172421455383301e-01,-1.145423874258995056e-01
1.019325256347656250e-01,-4.798164367675781250e-01,-1.271644681692123413e-01
8.291015774011611938e-02,-4.738945066928863525e-01,-1.266265958547592163e-01
5.317917093634605408e-02,-4.863365292549133301e-01,-1.238746643066406250e-01
5.317917093634605408e-02,-4.791587889194488525e-01,-7.332611083984375000e-02
5.395660549402236938e-02,-4.718002378940582275e-01,-1.324890106916427612e-01
3.654937818646430969e-02,-4.314811825752258301e-01,-1.531867980957031250e-01
3.248138353228569031e-02,-4.610328674316406250e-01,-1.348816007375717163e-01
4.462509229779243469e-02,-4.955490231513977051e-01,-1.860878020524978638e-01
-7.120513822883367538e-03,-4.624687135219573975e-01,-2.022392302751541138e-01
-2.434921264648437500e-02,-4.700058102607727051e-01,-1.561180204153060913e-01
-3.224487230181694031e-02,-4.691688716411590576e-01,-1.243530288338661194e-01
-3.439865261316299438e-02,-4.593582153320312500e-01,-1.129875183105468750e-01
-2.410965040326118469e-02,-4.570846557617187500e-01,-1.098762527108192444e-01
-3.607330471277236938e-02,-4.560676515102386475e-01,-6.907882541418075562e-02
