x,y,z
-7.897949777543544769e-03,-4.320800900459289551e-01,-1.134063750505447388e-01
1.860275305807590485e-02,-4.447616636753082275e-01,-1.202255263924598694e-01
5.748596414923667908e-02,-4.719803035259246826e-01,-1.371551603078842163e-01
1.357803400605916977e-02,-4.274139404296875000e-01,-1.808235198259353638e-01
5.766601487994194031e-02,-4.115615785121917725e-01,-1.266265958547592163e-01
8.907165378332138062e-02,-4.435653686523437500e-01,-5.113296583294868469e-02
6.771545857191085815e-02,-4.742530882358551025e-01,-7.482223957777023315e-02
2.362747304141521454e-02,-4.785598814487457275e-01,-1.155593916773796082e-01
4.169311746954917908e-02,-4.726982116699218750e-01,-1.193283125758171082e-01
4.821395874023437500e-02,-4.726379513740539551e-01,-1.153801009058952332e-01
5.443572998046875000e-02,-4.726379513740539551e-01,-1.143035888671875000e-01
5.993881449103355408e-02,-4.591781795024871826e-01,-1.491783112287521362e-01
6.472473591566085815e-02,-4.629471004009246826e-01,-1.227981597185134888e-01
5.150375515222549438e-02,-4.624687135219573975e-01,-9.994659572839736938e-02
7.686767727136611938e-02,-4.713821411132812500e-01,-1.210029646754264832e-01
7.190246880054473877e-02,-4.757484495639801025e-01,-1.437950134277343750e-01
6.454544514417648315e-02,-4.598365724086761475e-01,-1.162773147225379944e-01
4.887161403894424438e-02,-4.518203735351562500e-01,-1.102951094508171082e-01
8.404693752527236938e-02,-4.649215638637542725e-01,-8.899917453527450562e-02
6.992874294519424438e-02,-4.603149592876434326e-01,-1.153801009058952332e-01
9.535217285156250000e-02,-4.830467402935028076e-01,-1.835754364728927612e-01
1.162902861833572388e-01,-3.955291807651519775e-01,-7.314682006835937500e-02
8.111572265625000000e-02,-4.160476624965667725e-01,1.778106763958930969e-02
7.890167087316513062e-02,-4.602546691894531250e-01,-5.669632181525230408e-02
7.447510212659835815e-02,-4.648017883300781250e-01,-7.063446193933486938e-02
4.988861083984375000e-02,-4.813117980957031250e-01,-1.152008101344108582e-01
6.508331745862960815e-02,-4.713218808174133301e-01,-1.568359434604644775e-01
6.047744676470756531e-02,-4.920799434185028076e-01,-1.720901578664779663e-01
5.850296095013618469e-02,-4.831665158271789551e-01,-1.478630155324935913e-01
2.877197228372097015e-02,-4.901657104492187500e-01,-1.323097199201583862e-01
4.031753540039062500e-02,-4.943527281284332275e-01,-9.743423759937286377e-02
2.488403394818305969e-02,-4.872940182685852051e-01,-1.255500763654708862e-01
5.082702729851007462e-03,-4.837646484375000000e-01,-1.191490218043327332e-01
-1.208572369068861008e-02,-4.878326356410980225e-01,-9.372558444738388062e-02
-2.291336096823215485e-02,-4.793975949287414551e-01,-1.143630966544151306e-01
-6.921386718750000000e-02,-4.762268066406250000e-01,-1.156196594238281250e-01
-3.069000318646430969e-02,-4.624687135219573975e-01,-1.120903044939041138e-01
-6.903457641601562500e-02,-4.768249690532684326e-01,-8.349609375000000000e-02
-3.332138061523437500e-02,-4.683311581611633301e-01,-9.970702975988388062e-02
-2.512588538229465485e-02,-4.741935729980468750e-01,-1.654495298862457275e-01
-2.781829796731472015e-02,-4.156288206577301025e-01,-1.955398619174957275e-01
-7.591400295495986938e-02,-3.728569149971008301e-01,-1.238746643066406250e-01
-5.372085794806480408e-02,-4.359680116176605225e-01,-1.005447432398796082e-01
-2.004165761172771454e-02,-4.464363157749176025e-01,-1.070655807852745056e-01
-5.180663987994194031e-02,-4.579818844795227051e-01,-2.923889271914958954e-02
-3.966293483972549438e-02,-4.670150876045227051e-01,-6.363525241613388062e-02
