x,y,z
6.459045689553022385e-03,-4.812522828578948975e-01,-4.251861572265625000e-02
1.022720336914062500e-02,-4.829269349575042725e-01,-4.766311869025230408e-02
-2.949295006692409515e-02,-5.005142092704772949e-01,-3.892974928021430969e-02
-2.028121985495090485e-02,-4.971046447753906250e-01,-7.015609741210937500e-02
-3.092880360782146454e-02,-4.878326356410980225e-01,-2.684555016458034515e-02
-1.645278930664062500e-02,-5.085304379463195801e-01,-6.237869337201118469e-02
-3.710937453433871269e-03,-4.771842956542968750e-01,-6.590881198644638062e-02
2.087631262838840485e-02,-4.785003662109375000e-01,-1.571884192526340485e-02
3.343887254595756531e-02,-4.831062257289886475e-01,-3.234939649701118469e-02
1.364494413137435913e-01,-4.667755067348480225e-01,-3.557968139648437500e-02
1.920227110385894775e-01,-4.948310852050781250e-01,-3.827133402228355408e-02
2.304870635271072388e-01,-4.653396606445312500e-01,-8.553009480237960815e-02
1.972869932651519775e-01,-5.028473138809204102e-01,-7.165145874023437500e-02
2.297096252441406250e-01,-4.757484495639801025e-01,-4.000625759363174438e-02
1.891510039567947388e-01,-4.816108644008636475e-01,-4.275817796587944031e-02
1.537971496582031250e-01,-4.747314453125000000e-01,-9.193038940429687500e-02
1.082138046622276306e-01,-4.658783078193664551e-01,-3.647689893841743469e-02
6.699752807617187500e-02,-4.578621089458465576e-01,-2.014541625976562500e-02
7.794494926929473877e-02,-4.678528010845184326e-01,-7.847061008214950562e-02
-2.440872229635715485e-02,-4.767059385776519775e-01,-1.059883162379264832e-01
-7.262420654296875000e-02,-4.674339294433593750e-01,-6.052475050091743469e-02
-4.791793972253799438e-02,-4.720397889614105225e-01,-1.037155166268348694e-01
-1.042694076895713806e-01,-4.776626527309417725e-01,-1.037750244140625000e-01
-5.832672119140625000e-02,-4.285499751567840576e-01,-1.436752378940582275e-01
-9.397964924573898315e-02,-4.901054501533508301e-01,-9.545975178480148315e-02
-5.581436306238174438e-02,-4.569053649902343750e-01,-2.566169798374176025e-01
-5.533599853515625000e-02,-4.477523863315582275e-01,-1.961975097656250000e-01
-1.103706359863281250e-01,-4.421897828578948975e-01,-1.810630857944488525e-01
-6.604385375976562500e-02,-4.436248838901519775e-01,-2.015815824270248413e-01
-3.134765848517417908e-02,-4.036048948764801025e-01,-1.763374358415603638e-01
-5.772857740521430969e-02,-4.351905882358551025e-01,-1.703552305698394775e-01
