x,y,z
-1.728973351418972015e-02,-4.755096435546875000e-01,-9.528046101331710815e-02
-4.187622293829917908e-02,-4.598365724086761475e-01,-4.826202616095542908e-02
1.507339533418416977e-02,-4.929771423339843750e-01,-5.795211717486381531e-02
2.267074584960937500e-02,-4.798164367675781250e-01,-8.792266994714736938e-02
9.553223103284835815e-02,-4.847221374511718750e-01,-3.294754028320312500e-02
1.967926137149333954e-02,-4.876525998115539551e-01,-7.739410549402236938e-02
-9.692382998764514923e-03,-4.634857177734375000e-01,-1.146026626229286194e-01
-1.118774432688951492e-02,-5.014114379882812500e-01,-7.966766506433486938e-02
4.653930664062500000e-02,-4.826873838901519775e-01,-9.462203830480575562e-02
6.418609619140625000e-02,-4.817306697368621826e-01,-9.366531670093536377e-02
2.578124962747097015e-02,-4.661178588867187500e-01,-1.001861616969108582e-01
4.103546217083930969e-02,-4.570846557617187500e-01,-7.003631442785263062e-02
5.395660549402236938e-02,-4.598365724086761475e-01,-8.780288696289062500e-02
5.934066697955131531e-02,-4.762275815010070801e-01,-1.134063750505447388e-01
7.285995781421661377e-02,-4.611518979072570801e-01,-8.876037597656250000e-02
5.491409450769424438e-02,-4.942932128906250000e-01,-1.244728118181228638e-01
5.814437940716743469e-02,-4.716209471225738525e-01,-6.937789916992187500e-02
6.017837673425674438e-02,-4.752105772495269775e-01,-1.088592559099197388e-01
7.160339504480361938e-02,-4.491287171840667725e-01,-1.079628020524978638e-01
6.915130466222763062e-02,-4.680915772914886475e-01,-1.618606597185134888e-01
6.257095187902450562e-02,-4.606140255928039551e-01,-1.443328857421875000e-01
5.222168192267417908e-02,-4.766456782817840576e-01,-7.440338283777236938e-02
7.830353081226348877e-02,-4.653396606445312500e-01,-4.586868360638618469e-02
5.467453226447105408e-02,-4.642631709575653076e-01,-1.053298935294151306e-01
5.431595072150230408e-02,-4.792183041572570801e-01,-1.667060852050781250e-01
7.704772800207138062e-02,-4.863967895507812500e-01,-1.475036591291427612e-01
5.234146118164062500e-02,-4.490684568881988525e-01,-2.086334303021430969e-02
4.468460008502006531e-02,-4.789787232875823975e-01,-9.085388481616973877e-02
7.339859008789062500e-02,-4.999763667583465576e-01,-1.525283902883529663e-01
4.306945949792861938e-02,-4.722190797328948975e-01,-1.314720213413238525e-01
4.964981228113174438e-02,-4.799362123012542725e-01,-1.822593659162521362e-01
6.508331745862960815e-02,-4.975830018520355225e-01,-1.257293671369552612e-01
5.796432495117187500e-02,-4.336944520473480225e-01,-2.672653272747993469e-02
3.654861450195312500e-02,-4.685104489326477051e-01,-6.513061374425888062e-02
3.439560160040855408e-02,-4.726974666118621826e-01,-8.002624660730361938e-02
2.207260206341743469e-02,-4.662971496582031250e-01,-1.269256621599197388e-01
1.621017418801784515e-02,-4.523590207099914551e-01,-1.057487502694129944e-01
7.535553071647882462e-03,-4.541534483432769775e-01,-6.674575805664062500e-02
-1.597366295754909515e-02,-4.676132202148437500e-01,-6.315689533948898315e-02
-3.080902062356472015e-02,-4.765258729457855225e-01,-1.218406707048416138e-01
-6.167678907513618469e-02,-4.838241636753082275e-01,-1.609039306640625000e-01
-7.226486504077911377e-02,-4.825080931186676025e-01,-1.866264343261718750e-01
-1.555480994284152985e-02,-4.655189514160156250e-01,-8.457260578870773315e-02
-8.339156955480575562e-02,-4.615707397460937500e-01,-4.975738748908042908e-02
-3.499679639935493469e-02,-4.618103206157684326e-01,-1.190292388200759888e-01
-4.510650783777236938e-02,-4.683906733989715576e-01,-1.232765242457389832e-01
-2.057952992618083954e-02,-5.032661557197570801e-01,-1.006645187735557556e-01
-2.494735829532146454e-02,-4.509231746196746826e-01,-4.616775736212730408e-02
-6.664200127124786377e-02,-4.490684568881988525e-01,-1.589889638125896454e-02
-5.593414232134819031e-02,-4.432060420513153076e-01,-1.688598692417144775e-01
