x,y,z
-1.274337805807590485e-02,-4.572044312953948975e-01,-1.121498122811317444e-01
4.724121186882257462e-03,-4.646217525005340576e-01,-1.572548002004623413e-01
2.451324602589011192e-03,-4.646217525005340576e-01,-8.606796711683273315e-02
-1.663208007812500000e-02,-4.749107360839843750e-01,-7.362518459558486938e-02
1.052627619355916977e-02,-5.093681216239929199e-01,-1.637153625488281250e-01
-3.122787550091743469e-02,-5.003349184989929199e-01,-1.041938811540603638e-01
-5.593414232134819031e-02,-4.988395869731903076e-01,-1.109535247087478638e-01
-2.901458740234375000e-02,-4.369850158691406250e-01,-1.022796630859375000e-01
-2.022094838321208954e-02,-4.505638182163238525e-01,-2.086410485208034515e-02
-5.515594407916069031e-02,-4.310028254985809326e-01,-6.674575805664062500e-02
-5.850601196289062500e-02,-4.405739009380340576e-01,-1.218406707048416138e-01
-1.573486439883708954e-02,-4.761672914028167725e-01,-9.928818047046661377e-02
-1.621322706341743469e-02,-4.641433656215667725e-01,-1.275238096714019775e-01
-4.528579860925674438e-02,-4.564865231513977051e-01,-8.307724446058273315e-02
-3.314208984375000000e-02,-4.742530882358551025e-01,-1.266265958547592163e-01
-3.530883928760886192e-03,-4.938148558139801025e-01,-1.832763701677322388e-01
-4.552536085247993469e-02,-5.027275085449218750e-01,-6.596832722425460815e-02
-8.676148019731044769e-03,-5.013519525527954102e-01,-1.175933852791786194e-01
8.193969726562500000e-03,-4.909431636333465576e-01,-1.952407807111740112e-01
7.296753115952014923e-03,-4.697670042514801025e-01,-8.505096286535263062e-02
1.148376520723104477e-02,-4.889091551303863525e-01,-9.336624294519424438e-02
3.804473951458930969e-02,-4.785606563091278076e-01,-1.487007141113281250e-01
4.963684361428022385e-03,-5.060181021690368652e-01,-1.086204573512077332e-01
1.603012159466743469e-02,-5.150505304336547852e-01,-1.312919706106185913e-01
1.722641102969646454e-02,-5.110427737236022949e-01,-1.260284483432769775e-01
2.434539794921875000e-02,-4.599563777446746826e-01,-1.131073012948036194e-01
2.464523352682590485e-02,-4.826881587505340576e-01,-5.274811014533042908e-02
4.277038574218750000e-02,-4.473938047885894775e-01,-6.925888359546661377e-02
4.851303249597549438e-02,-4.567253291606903076e-01,-1.147224456071853638e-01
3.648910671472549438e-02,-4.448814392089843750e-01,-9.294738620519638062e-02
1.130447443574666977e-02,-4.601356685161590576e-01,-9.318695217370986938e-02
1.944046095013618469e-02,-4.332160949707031250e-01,-6.309738010168075562e-02
7.046737521886825562e-02,-4.495475888252258301e-01,-1.302757263183593750e-01
6.837310642004013062e-02,-4.859779477119445801e-01,-1.283012479543685913e-01
4.139480739831924438e-02,-4.493682980537414551e-01,-7.422333210706710815e-02
4.755554348230361938e-02,-4.837646484375000000e-01,-6.800232082605361938e-02
5.658874660730361938e-02,-4.575035274028778076e-01,-1.040740981698036194e-01
