x,y,z
3.720703348517417908e-02,-4.626480042934417725e-01,-1.186103820800781250e-01
1.250076293945312500e-02,-4.804145991802215576e-01,-5.777282640337944031e-02
-9.034729562699794769e-03,-4.739540219306945801e-01,-6.190109252929687500e-02
2.655868604779243469e-02,-4.877723753452301025e-01,-3.779296949505805969e-02
-5.996703985147178173e-04,-4.949508607387542725e-01,-5.789260938763618469e-02
1.106491126120090485e-02,-4.654594361782073975e-01,-7.715453952550888062e-02
-3.625259548425674438e-02,-4.752098023891448975e-01,-9.605789184570312500e-02
-2.040100097656250000e-02,-4.773635864257812500e-01,-1.745376549661159515e-02
-2.715988270938396454e-02,-4.677925109863281250e-01,-7.876968383789062500e-02
-3.852615505456924438e-02,-4.589385986328125000e-01,-7.775344699621200562e-02
-9.513092227280139923e-03,-4.631866514682769775e-01,-3.534011915326118469e-02
-3.158722072839736938e-02,-4.667160212993621826e-01,-7.990646362304687500e-02
-2.022094838321208954e-02,-4.851402342319488525e-01,-5.609817430377006531e-02
-5.270309373736381531e-02,-4.657585322856903076e-01,-3.330612182617187500e-02
-2.016143873333930969e-02,-4.874733090400695801e-01,-8.840103447437286377e-02
-4.097900539636611938e-02,-5.120598077774047852e-01,-1.327880918979644775e-01
-4.863586649298667908e-02,-4.865760803222656250e-01,-7.440262287855148315e-02
-2.985229529440402985e-02,-4.819099605083465576e-01,-8.433303982019424438e-02
-1.651229895651340485e-02,-4.638442993164062500e-01,-1.679611206054687500e-02
-2.554473839700222015e-02,-4.810127317905426025e-01,-7.924880832433700562e-02
-2.069931104779243469e-02,-5.021293759346008301e-01,-1.022796630859375000e-01
2.117538452148437500e-02,-4.880714416503906250e-01,-7.787247002124786377e-02
5.801391787827014923e-03,-4.785598814487457275e-01,-2.774276770651340485e-02
3.702774271368980408e-02,-4.793380796909332275e-01,-1.930847205221652985e-02
3.834381327033042908e-02,-5.037445425987243652e-01,-1.134658828377723694e-01
4.426574707031250000e-02,-4.521797299385070801e-01,-4.969711229205131531e-02
3.595047071576118469e-02,-4.705444276332855225e-01,-8.529052883386611938e-02
7.399673759937286377e-02,-4.859184324741363525e-01,-4.257812723517417908e-02
1.234085112810134888e-01,-5.553100705146789551e-01,-1.564170867204666138e-01
3.288269042968750000e-03,-5.475937128067016602e-01,-1.415222138166427612e-01
1.627700775861740112e-01,-5.421493649482727051e-01,-1.488197296857833862e-01
4.408645629882812500e-02,-5.819900631904602051e-01,-1.456497162580490112e-01
1.546943634748458862e-01,-4.645622372627258301e-01,-1.006042510271072388e-01
4.869232326745986938e-02,-4.208335876464843750e-01,2.454071119427680969e-02
6.442566215991973877e-02,-4.534355103969573975e-01,-1.006050109863281250e-01
5.455474928021430969e-02,-4.613319337368011475e-01,-1.282417327165603638e-01
3.002853505313396454e-02,-4.725784361362457275e-01,-7.033538818359375000e-02
3.822403028607368469e-02,-5.125984549522399902e-01,-3.557968139648437500e-02
5.461502075195312500e-02,-5.383209586143493652e-01,-8.301544003188610077e-03
2.440567128360271454e-02,-5.530967712402343750e-01,-2.283783070743083954e-02
4.540252685546875000e-02,-4.518798887729644775e-01,-9.677124209702014923e-03
6.616058200597763062e-02,-4.466163814067840576e-01,-9.097366780042648315e-02
