x,y,z
-9.812164120376110077e-03,-4.787994325160980225e-01,6.007385253906250000e-02
-1.166687067598104477e-02,-4.612724483013153076e-01,-3.683624416589736938e-02
-9.931946173310279846e-03,-4.640235900878906250e-01,-3.833160549402236938e-02
1.597061194479465485e-02,-4.665962159633636475e-01,-4.951782152056694031e-02
9.748840704560279846e-03,-4.525978267192840576e-01,-9.593887627124786377e-02
9.583129733800888062e-02,-4.228675961494445801e-01,-2.255096435546875000e-01
-2.596359327435493469e-02,-4.187996089458465576e-01,-2.996276915073394775e-01
-2.454376313835382462e-03,-4.463768005371093750e-01,-2.932868897914886475e-01
-1.597366295754909515e-02,-4.324981868267059326e-01,-2.843734920024871826e-01
-9.214020334184169769e-03,-4.196968078613281250e-01,-2.949615418910980225e-01
-1.078033470548689365e-03,-4.013915956020355225e-01,-2.748016417026519775e-01
-1.597366295754909515e-02,-4.080322384834289551e-01,-2.709136903285980225e-01
3.168487688526511192e-03,-4.250206053256988525e-01,-2.912529110908508301e-01
3.348541213199496269e-03,-4.445823729038238525e-01,-3.056099116802215576e-01
5.000839382410049438e-02,-4.456588923931121826e-01,-2.847320735454559326e-01
1.387634314596652985e-02,-4.341735839843750000e-01,-3.117713928222656250e-01
