x,y,z
4.425048828125000000e-03,-4.305839538574218750e-01,-1.263275146484375000e-01
4.689788818359375000e-02,-4.631263911724090576e-01,-1.306945830583572388e-01
1.662826538085937500e-02,-4.403946101665496826e-01,-9.689559787511825562e-02
2.344818226993083954e-02,-4.338142573833465576e-01,-1.032958999276161194e-01
-1.018524169921875000e-03,-4.173042476177215576e-01,-8.475189656019210815e-02
-2.214813372120261192e-03,-4.583404660224914551e-01,-1.322494596242904663e-01
-3.427886962890625000e-02,-4.915412962436676025e-01,-1.095771789550781250e-01
-3.565521165728569031e-02,-4.765266478061676025e-01,-9.211044758558273315e-02
-1.148757990449666977e-02,-4.357284605503082275e-01,-9.426345676183700562e-02
-7.154693454504013062e-02,-4.609733521938323975e-01,-9.258880466222763062e-02
-9.140777587890625000e-02,-4.648017883300781250e-01,-1.357788145542144775e-01
-5.497665330767631531e-02,-5.035652518272399902e-01,-1.398468017578125000e-01
-2.883529663085937500e-02,-4.634857177734375000e-01,-1.223793029785156250e-01
-1.381988544017076492e-02,-4.595375061035156250e-01,-5.226974561810493469e-02
-5.360107496380805969e-02,-4.841232299804687500e-01,-1.182518005371093750e-01
1.433563302271068096e-03,-4.677322506904602051e-01,-1.171150207519531250e-01
-1.537551917135715485e-02,-4.680915772914886475e-01,-9.169159084558486938e-02
8.074188604950904846e-03,-4.284904599189758301e-01,-7.691574096679687500e-02
-2.895507775247097015e-02,-4.393180906772613525e-01,-1.229774504899978638e-01
-2.715988270938396454e-02,-5.033256411552429199e-01,-1.347023099660873413e-01
-2.745971642434597015e-02,-4.618103206157684326e-01,-7.117309421300888062e-02
9.868621826171875000e-03,-4.796966612339019775e-01,-2.307739295065402985e-02
6.518554873764514923e-03,-5.082313418388366699e-01,-1.287200897932052612e-01
-2.931365929543972015e-02,-4.485900998115539551e-01,-6.638717651367187500e-02
7.788544148206710815e-02,-4.520599544048309326e-01,-1.548622101545333862e-01
4.324875026941299438e-02,-4.467353820800781250e-01,-9.055481106042861938e-02
8.883209526538848877e-02,-4.307632446289062500e-01,-1.587501615285873413e-01
8.990859985351562500e-02,-4.563667476177215576e-01,-1.092781051993370056e-01
1.282539367675781250e-01,-4.804740846157073975e-01,-1.993087828159332275e-01
2.464446984231472015e-02,-4.393776059150695801e-01,-4.856109619140625000e-02
6.813430786132812500e-02,-4.860977232456207275e-01,-8.140182495117187500e-02
8.093567192554473877e-02,-5.248611569404602051e-01,-1.770553588867187500e-01
